miRNA	TCGA-BLCA	TCGA-BRCA	TCGA-CESC	TCGA-CHOL	TCGA-COAD	TCGA-ESCA	TCGA-GBM	TCGA-HNSC	TCGA-KIRC	TCGA-KIRP	TCGA-LIHC	TCGA-LUAD	TCGA-LUSC	TCGA-PAAD	TCGA-PCPG	TCGA-PRAD	TCGA-READ	TCGA-SARC	TCGA-SKCM	TCGA-STAD	TCGA-THYM	TCGA-UCEC
hsa-let-7a-1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1
hsa-let-7d	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1
hsa-let-7f-1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1
hsa-mir-10226	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1
hsa-mir-1178	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1
hsa-mir-1270	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1
hsa-mir-1283-2	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1
hsa-mir-1288	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1
hsa-mir-129-2	1	2	2	2	2	2	0	2	1	0	1	2	1	2	0	1	1	0	0	0	0	2
hsa-mir-1302-4	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1
hsa-mir-135b	1	0	1	0	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1
hsa-mir-148b	1	2	2	2	2	2	1	2	0	0	0	2	2	2	0	1	1	0	1	0	0	1
hsa-mir-152	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1
hsa-mir-153-2	6	6	4	1	0	5	2	6	1	0	6	4	6	0	0	0	6	5	6	1	0	6
hsa-mir-196b	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1
hsa-mir-2355	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1
hsa-mir-3135b	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1
hsa-mir-3175	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1
hsa-mir-3185	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1
hsa-mir-3187	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1
hsa-mir-340	1	0	1	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1
hsa-mir-3657	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1
hsa-mir-3667	3	2	1	1	2	3	0	3	2	1	3	2	2	0	0	2	3	3	1	0	0	1
hsa-mir-3939	1	0	1	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0
hsa-mir-3944	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1
hsa-mir-4251	9	9	2	0	5	9	0	7	3	0	9	0	9	1	4	7	8	0	3	0	0	9
hsa-mir-4264	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0
hsa-mir-4276	0	1	1	3	1	3	3	3	1	1	0	3	2	0	3	3	0	0	3	1	0	1
hsa-mir-4298	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1
hsa-mir-4316	3	3	2	0	2	3	1	3	1	0	3	3	3	0	1	2	2	1	2	0	0	3
hsa-mir-4321	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1
hsa-mir-4323	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1
hsa-mir-4526	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1
hsa-mir-4533	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1
hsa-mir-4647	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1
hsa-mir-4710	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1
hsa-mir-4782	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1
hsa-mir-4801	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1
hsa-mir-516a-1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1
hsa-mir-516a-2	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1
hsa-mir-5196	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1
hsa-mir-519a-1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1
hsa-mir-519a-2	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1
hsa-mir-521-1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1
